Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,1,1,0,0
2020-01-21,0,1,0,0
2020-01-22,0,1,0,0
2020-01-23,0,1,0,0
2020-01-24,0,1,0,0
2020-01-25,5,6,0,0
2020-01-26,1,7,0,0
2020-01-27,0,7,0,0
2020-01-28,1,8,0,0
2020-01-29,0,8,0,0
2020-01-30,0,8,0,0
2020-01-31,0,8,0,0
2020-02-01,0,8,0,0
2020-02-02,1,9,0,0
2020-02-03,1,10,0,0
2020-02-04,3,13,0,0
2020-02-05,4,17,0,0
2020-02-06,2,19,0,0
2020-02-07,0,19,0,0
2020-02-08,0,19,0,0
2020-02-09,1,20,0,0
2020-02-10,0,20,0,0
2020-02-11,0,20,0,0
2020-02-12,0,20,0,0
2020-02-13,0,20,0,0
2020-02-14,2,22,0,0
2020-02-15,1,23,0,0
2020-02-16,1,24,0,0
2020-02-17,0,24,0,0
2020-02-18,0,24,0,0
2020-02-19,2,26,0,0
2020-02-20,5,31,0,0
2020-02-21,3,34,0,0
2020-02-22,1,35,0,0
2020-02-23,5,40,0,0
2020-02-24,8,48,0,0
2020-02-25,0,48,0,0
2020-02-26,4,52,0,0
2020-02-27,4,56,0,0
2020-02-28,8,64,0,0
2020-02-29,5,69,1,1
2020-03-01,4,73,0,1
2020-03-02,9,82,1,2
2020-03-03,18,100,0,2
2020-03-04,35,135,6,8
2020-03-05,51,186,3,11
2020-03-06,70,256,2,13
2020-03-07,78,334,3,16
2020-03-08,130,464,3,19
2020-03-09,146,610,5,24
2020-03-10,212,822,4,28
2020-03-11,390,1212,4,32
2020-03-12,497,1709,7,39
2020-03-13,525,2234,12,51
2020-03-14,727,2961,7,58
2020-03-15,968,3929,11,69
2020-03-16,1219,5148,13,82
2020-03-17,2135,7283,18,100
2020-03-18,2369,9652,21,121
2020-03-19,3229,12881,28,149
2020-03-20,4862,17743,64,213
2020-03-21,6113,23856,69,282
2020-03-22,7559,31415,92,374
2020-03-23,9110,40525,112,486
2020-03-24,10765,51290,118,604
2020-03-25,10754,62044,164,768
2020-03-26,11332,73376,209,977
2020-03-27,14115,87491,301,1278
2020-03-28,18474,105965,341,1619
2020-03-29,20344,126309,487,2106
2020-03-30,20673,146982,556,2662
2020-03-31,26161,173143,665,3327
2020-04-01,15536,188679,631,3958
2020-04-02,23260,211939,982,4940
2020-04-03,28674,240613,1121,6061
2020-04-04,29790,270403,1311,7372
2020-04-05,32057,302460,1376,8748
2020-04-06,32134,334594,1540,10288
2020-04-07,26984,361578,1873,12161
2020-04-08,28629,390207,1691,13852
2020-04-09,29355,419562,2093,15945
2020-04-10,34148,453710,2221,18166
2020-04-11,34743,488453,2230,20396
2020-04-12,33179,521632,2241,22637
2020-04-13,31535,553167,2192,24829
2020-04-14,27094,580261,1857,26686
2020-04-15,25244,605505,1905,28591
2020-04-16,25259,630764,2432,31023
2020-04-17,25208,655972,2731,33754
2020-04-18,31494,687466,2445,36199
2020-04-19,30316,717782,2336,38535
2020-04-20,28281,746063,1848,40383
2020-04-21,26070,772133,1993,42376
2020-04-22,26428,798561,2077,44453
2020-04-23,25927,824488,2673,47126
2020-04-24,30470,854958,2221,49347
2020-04-25,33211,888169,1984,51331
2020-04-26,34778,922947,2103,53434
2020-04-27,33603,956550,1892,55326
2020-04-28,26063,982613,1535,56861
2020-04-29,23758,1006371,1489,58350
2020-04-30,23935,1030306,2111,60461
2020-05-01,26774,1057080,2417,62878
2020-05-02,31221,1088301,2238,65116
2020-05-03,33082,1121383,1953,67069
2020-05-04,28292,1149675,1609,68678
2020-05-05,25927,1175602,1412,70090
2020-05-06,22324,1197926,1271,71361
2020-05-07,22878,1220804,2434,73795
2020-05-08,25440,1246244,2341,76136
2020-05-09,28552,1274796,2033,78169
2020-05-10,28833,1303629,1658,79827
2020-05-11,25917,1329546,1491,81318
2020-05-12,20656,1350202,1073,82391
2020-05-13,19950,1370152,1034,83425
2020-05-14,23902,1394054,1533,84958
2020-05-15,17336,1411390,1507,86465
2020-05-16,34643,1446033,1943,88408
2020-05-17,26628,1472661,1549,89957
2020-05-18,26081,1498742,1239,91196
2020-05-19,19917,1518659,927,92123
2020-05-20,22744,1541403,946,93069
2020-05-21,21923,1563326,1179,94248
2020-05-22,23506,1586832,1374,95622
2020-05-23,26191,1613023,1083,96705
2020-05-24,25963,1638986,1810,98515
2020-05-25,21465,1660451,937,99452
2020-05-26,20651,1681102,788,100240
2020-05-27,19379,1700481,687,100927
2020-05-28,17510,1717991,811,101738
2020-05-29,19508,1737499,1285,103023
2020-05-30,24182,1761681,1251,104274
2020-05-31,23741,1785422,1051,105325
2020-06-01,24127,1809549,906,106231
2020-06-02,21466,1831015,673,106904
2020-06-03,17157,1848172,691,107595
2020-06-04,20974,1869146,934,108529
2020-06-05,20695,1889841,1022,109551
2020-06-06,20870,1910711,885,110436
2020-06-07,24491,1935202,876,111312
2020-06-08,23285,1958487,669,111981
2020-06-09,18455,1976942,593,112574
2020-06-10,18151,1995093,776,113350
2020-06-11,18581,2013674,827,114177
2020-06-12,22181,2035855,882,115059
2020-06-13,22890,2058745,888,115947
2020-06-14,28333,2087078,735,116682
2020-06-15,26434,2113512,685,117367
2020-06-16,20778,2134290,489,117856
2020-06-17,20591,2154881,525,118381
2020-06-18,24777,2179658,674,119055
2020-06-19,25816,2205474,684,119739
2020-06-20,28520,2233994,643,120382
2020-06-21,33105,2267099,755,121137
2020-06-22,33467,2300566,576,121713
2020-06-23,27345,2327911,413,122126
2020-06-24,28698,2356609,415,122541
2020-06-25,37887,2394496,746,123287
2020-06-26,37320,2431816,692,123979
2020-06-27,47021,2478837,2533,126512
2020-06-28,46540,2525377,706,127218
2020-06-29,43653,2569030,593,127811
2020-06-30,37583,2606613,439,128250
2020-07-01,38517,2645130,461,128711
2020-07-02,47253,2692383,662,129373
2020-07-03,59342,2751725,782,130155
2020-07-04,55452,2807177,704,130859
2020-07-05,60366,2867543,810,131669
2020-07-06,48978,2916521,539,132208
2020-07-07,40413,2956934,460,132668
2020-07-08,50763,3007697,598,133266
2020-07-09,56754,3064451,928,134194
2020-07-10,64775,3129226,1079,135273
2020-07-11,61943,3191169,961,136234
2020-07-12,68579,3259748,964,137198
2020-07-13,68262,3328010,889,138087
2020-07-14,58680,3386690,840,138927
2020-07-15,56287,3442977,731,139658
2020-07-16,64516,3507493,914,140572
2020-07-17,72389,3579882,1122,141694
2020-07-18,69181,3649063,1089,142783
2020-07-19,76952,3726015,1081,143864
2020-07-20,67324,3793339,1005,144869
